id,created_at,updated_at,state,description,consultant_id,nonprofit_id,scheduled_for,time_slots,organization_id,conference_line_id,project_category_id,partner_organization_id,archived
113,03:32.6,07:27.0,cancelled,"I was told to contact you to help with adding my projects to the site.  Below is some details along with information on our Event, etc.

The Foundation for Facial Palsy Project Request

1.	Marketing Assistance
a.	PSAs – Develop local Public Service Announcements to be viewed/air by local-tri state audiences and possibly the web.
b.	Media relations strategy – Reach out to local news/radio stations to promote the Foundation for Facial Palsy and its events.
c.	Advertisement
i.	Develop advertising materials that can be used in office, on the web and distributed to other local healthcare offices/businesses. (Brochures, tear sheets)
ii.	Develop a commercial to be aired locally.

2.	Business Strategy Coaching
a.	Business Strategy support to help align the mission and strategy of the organization.
i.	Ensuring that we are meeting our business goals efficiently and effectively based on:
1.	Our service model
2.	Target audience
3.	Process improvement
4.	ROI 
5.	Fundraising 

3.	Communications Plan
a.	To ensure that the organization is fulfilling its business strategy, goals, objectives.
b.	Communicating effectively internal and externally.



Our FACE the Challenge fundraiser would be a project that we feel would be very beneficial.  It's a 1/2 day virtual event that will take place in September that would include a walk/run as well as 30 minute educational sessions in which there would be 2 running at the same time.

Our budget could be as high as $10,000. 
We are interested in having assistance with:


**We do not need you to recruit participants for the event.  

Below are some examples of the educational sessions that we mentioned above:
1. Physical Therapy role in the treatment of facial palsy
2. Physical Therapy role in the treatment of TMD
3. Ophthalmic intervention for facial palsy
4. Botox and surgical options for the treatment of facial palsy
5. Dental intervention in the treatment of TMD
6. Regenerative medicine role in the treatment of facial palsy
7. Regenerative medicine role in the treatment of TMD
8. Relaxation and Stress Management techniques

If you should want to review more about the FACE the Challenge event please do so here: http://foundationforfacialrecovery.org/face-the-challenge.html

Tens of thousands of men, women and children are diagnosed each year with facial paralysis caused by conditions such as Bell’s Palsy, Synkinesis, Ramsay Hunt, Lyme Disease, Acoustic Neuroma, Congenital Facial Palsy, Parotid Tumor, and many other causes, as well as TMD / TMJ disorders (Temporomandibular disorder).  These conditions get little to no acknowledgement and millions of people are suffering from pain along with emotional distress with these conditions.

We at the Foundation for Facial Recovery want these individuals to know they are not alone and there is hope and help!

Last year our first annual FACE the Challenge event raised over $17,532 that will go towards research projects to improve facial palsy and TMJ disorder.  With your help (see above our needs) we really feel we can reach our goals this year and help those who are suffering from these conditions.",,144234,,"{""2017-04-25 14:00:00"",""2017-04-26 21:00:00"",""2017-04-28 18:00:00""}",4250,,20,,f
101,00:55.9,41:15.1,completed,"We need a redesign website, our current site is not the message that we want to get across to our audience.  We need a responsive website just like http://www.gripyouth.com.",129799,135750,11/15/16 19:00,"{""2016-11-09 22:00:00"",""2016-11-10 22:00:00"",""2016-11-15 19:00:00"",""2016-11-16 19:00:00"",""2016-11-17 19:00:00""}",2271,5,20,,f
896,08:16.3,35:58.3,cancelled,Look at hjow to market what we do in order to get financing.,,170762,,"{""2019-02-19 18:00:00"",""2019-02-20 18:00:00"",""2019-02-21 18:00:00""}",7545,,10,,f
709,31:28.7,31:28.7,draft,(place holder),,167520,,{},7058,,1,,f
576,57:14.3,00:30.0,completed,Help with petitioning for child rights,161022,144810,8/17/18 17:00,"{""2018-08-13 14:00:00"",""2018-08-13 15:00:00"",""2018-08-13 16:00:00"",""2018-08-14 17:00:00"",""2018-08-16 18:00:00"",""2018-08-17 14:00:00"",""2018-08-17 15:00:00"",""2018-08-17 16:00:00"",""2018-08-17 17:00:00""}",4291,3,9,,f
96,31:01.5,00:03.3,completed,"We have a functional WordPress website that reasonably represents our brand and mission. However, it has not been significantly refreshed in several years, is missing a media page and SEO optimization, and has only a rudimentary Corporate Gifts page (our key target market). I would love to talk with a website expert to identify top priorities for a Taproot+ project to refresh our existing site.  www.BellafinaChocolates.com",6738,131204,9/30/16 13:00,"{""2016-09-23 20:00:00"",""2016-09-26 15:00:00"",""2016-09-26 20:00:00"",""2016-09-27 20:00:00"",""2016-09-28 15:00:00"",""2016-09-28 20:00:00"",""2016-09-29 15:00:00"",""2016-09-29 20:00:00"",""2016-09-30 13:00:00""}",2934,1,20,,f
244,38:32.3,29:29.2,expired,We have been using email and social media to reach and engage prior and new donors over the past 2½ years. Our results to date have been fair. The goal for this consultation is to come away with some new ideas to reach donors and increase revenue via individual contributions. Current campaign link: http://mailchi.mp/aea148d83b75/one-earth-conservation-fall-2017-appeal-prior-donors?e=312499d342,,154006,,"{""2017-12-13 15:00:00"",""2017-12-18 15:00:00"",""2017-12-18 20:00:00"",""2017-12-21 15:00:00"",""2017-12-21 19:00:00""}",5550,,10,,f
56,49:52.6,00:02.0,completed,"Our website seems clunky for the user.  Too many click to get what you want.  We get 51000 hits so we know it is used as resource for advocacy, services and events.  We include a lot of information on the site.  We updated three years ago and are ready for another update.  We need to make sure people have access to information on us as well as services and information in the community.  We also need to raise money - donations on the site and provide information on policy changes, advocacy updates and information on other state funded services.  I am most interested in our home page and how we get directed to the right page correctly.",11377,11675,3/30/16 14:00,"{""2016-03-30 14:00:00"",""2016-03-30 15:00:00"",""2016-03-30 16:00:00"",""2016-03-31 14:00:00"",""2016-03-31 16:00:00""}",2446,1,20,,f
98,27:54.6,00:19.6,expired,"We are struggling to grow our online sales. We have not invested in advertising and often wonder where/how much/or even if we should invest in advertising. Right now we are reaching our customers through social media and e-mail campaigns. 
www.ajiritea.com
https://ajiritea.com/collections/all",,131196,,"{""2016-10-17 13:00:00"",""2016-10-17 14:00:00"",""2016-10-17 21:00:00"",""2016-10-18 13:00:00"",""2016-10-18 14:00:00"",""2016-10-18 21:00:00"",""2016-10-19 13:00:00"",""2016-10-19 14:00:00"",""2016-10-19 21:00:00""}",2933,,10,,f
58,16:50.0,00:01.9,completed,"The primary objectives of our website are to increase email subscriptions and donations. We understand content plays a huge role in this, but also want to know if the design or overall user experience encourages or discourages this. We'd also like to get a professional opionion about our website's ""first impression.""",11415,11678,4/1/16 18:00,"{""2016-03-28 14:00:00"",""2016-03-28 15:00:00"",""2016-03-28 17:00:00"",""2016-03-29 14:00:00"",""2016-03-29 15:00:00"",""2016-03-29 17:00:00"",""2016-03-29 18:00:00"",""2016-03-30 14:00:00"",""2016-03-30 15:00:00"",""2016-03-30 18:00:00"",""2016-03-31 14:00:00"",""2016-03-31 15:00:00"",""2016-03-31 17:00:00"",""2016-03-31 18:00:00"",""2016-04-01 14:00:00"",""2016-04-01 15:00:00"",""2016-04-01 17:00:00"",""2016-04-01 18:00:00""}",2452,1,20,,f
491,34:01.3,00:08.1,completed,Seeking guidance on customizing our Salesforce to include demographic details and service dates for a given household's children receiving diapers from our diaper pantry.  We also need to track the family's progress in the pantry program as well as from pantry assistance to participation in our mentoring program (if applicable).,128863,145782,6/22/18 16:00,"{""2018-06-21 16:00:00"",""2018-06-22 16:00:00"",""2018-06-28 19:00:00"",""2018-06-29 16:00:00"",""2018-07-05 19:00:00"",""2018-07-06 16:00:00""}",4391,1,18,,f
460,31:29.6,11:20.8,expired,"I need a second opinion on the manner in which our books (P&L's, Balance Sheets, etc).were set up by our former Treasurer. Having heard a variety of descriptions on how to best represent our work in this respect, it has become a critical issue recently, with regards to fundraising.",,119273,,"{""2018-06-04 15:00:00"",""2018-06-04 16:00:00"",""2018-06-05 15:00:00"",""2018-06-05 16:00:00"",""2018-06-07 15:00:00"",""2018-06-07 16:00:00"",""2018-06-08 15:00:00"",""2018-06-08 16:00:00""}",6348,,1,,f
99,59:09.9,00:11.6,completed,"I would like to learn the best practices for beginning to sell via eCommerce. 

Specifically, I would like to learn about system integration and distrabution.",19033,134784,10/26/16 18:00,"{""2016-10-24 18:00:00"",""2016-10-26 14:00:00"",""2016-10-26 15:00:00"",""2016-10-26 16:00:00"",""2016-10-26 17:00:00"",""2016-10-26 18:00:00"",""2016-10-27 17:00:00""}",3281,4,10,,f
111,43:04.4,00:01.4,completed,"We are without a viable board and we wish to determine what we need to develop one.  We have the interest of women who  acknowledge the good work we do, but we have not been able to set in place steps to take to get a board.   Our website is www.aawrc.org. I am seeking some general guidance on a framework to follow in order to identify, recruit and engage the right board members for my organization.",136767,132071,4/3/17 14:00,"{""2017-04-03 13:00:00"",""2017-04-03 14:00:00"",""2017-04-03 15:00:00"",""2017-04-05 13:00:00"",""2017-04-05 14:00:00"",""2017-04-05 15:00:00"",""2017-04-05 16:00:00"",""2017-04-05 20:00:00"",""2017-04-05 21:00:00"",""2017-04-07 13:00:00""}",3035,4,8,,f
170,58:51.8,00:12.7,expired,"* Our challenge: We have an Adult Education program model that has been serving The Bronx Community for 2 years. Our program director needs someone with a sales/fundraising background to work with him on sales soft-skills and strategic planning he needs to raise funds this year.  

* Some more info about us: Offered programs include earning a high school diploma, increasing financial literacy skills, and computer education. Programs are free of costs and thus far over 500 residents have been impacted through one or more of our programs.

* Loving our work so far?:  Great, we're super passionate about changing lives as well! Here's our website (www.tinyurl.com/Strongerfamilies) and our Twitter/Instagram (@EqualityAdultEd), and Facebook (Equality Adult Education). 

We can certainly use your expertise and look forward to working with you soon!",,123225,,"{""2017-07-05 16:00:00"",""2017-07-05 17:00:00"",""2017-07-05 18:00:00"",""2017-07-06 16:00:00"",""2017-07-06 17:00:00"",""2017-07-06 18:00:00"",""2017-07-10 16:00:00"",""2017-07-10 17:00:00"",""2017-07-14 14:00:00""}",2129,,10,,f
365,47:20.2,42:40.1,expired,egrdgfgergere,,155996,,"{""2018-03-07 17:00:00"",""2018-03-08 17:00:00"",""2018-03-08 20:00:00"",""2018-03-09 16:00:00"",""2018-03-13 17:00:00"",""2018-03-14 16:00:00"",""2018-03-15 19:00:00""}",5902,,,,f
37,39:13.6,35:23.1,cancelled,"I have a new creative way to make it easy for women to take the time to do breast checks once a month  I want the DMV (District of Columbia, Maryland and VA) Breast Health community to know that there is a resource that can benefit the women and men they service.  I have created your brand, and re launched my non profit  and  now  all I need is for the rest of the DMV and the world to discover me and to generate funding.",,9497,,"{""2016-01-29 16:00:00"",""2016-01-29 19:00:00"",""2016-01-29 20:00:00"",""2016-01-29 22:00:00""}",2455,,11,,f
97,26:28.2,00:02.9,completed,"We need some guidance in redesigning our website for our Foundation. How can we drive more donations to the website? How can we make people connect better to our mission? And most important, how should we design it/what programs should we use so that we can easily change it and edit it. 
Our current foundation website: www.ajirifoundation.org
A website we think does a good job of making this connection: www.flyingkites.org",129799,131196,10/11/16 13:00,"{""2016-10-06 13:00:00"",""2016-10-06 14:00:00"",""2016-10-06 15:00:00"",""2016-10-07 13:00:00"",""2016-10-07 14:00:00"",""2016-10-07 15:00:00"",""2016-10-11 13:00:00"",""2016-10-11 14:00:00"",""2016-10-11 15:00:00""}",2933,1,20,,f
117,36:28.4,00:01.6,completed,My organization works with both DOE and CUNY to develop career exploration materials. They both want my organization to move to the web but each is thinking of doing their own thing. I would like to combine them and at least think of our early work as possible prototypes for a full-fledged website. How do we create components and be sure that they will be able to be fit within a larger website with additional functionality?,130022,97622,5/26/17 18:00,"{""2017-05-26 18:00:00"",""2017-05-30 15:00:00"",""2017-05-30 17:00:00"",""2017-05-30 18:00:00"",""2017-05-30 19:00:00"",""2017-05-31 15:00:00"",""2017-05-31 17:00:00"",""2017-05-31 18:00:00"",""2017-05-31 19:00:00"",""2017-06-01 15:00:00""}",4188,5,20,,f
434,31:43.6,00:02.8,completed,"My goal for this session is to develop a sense of priorities and next steps on our 3 biggest challenges which are:
-Fundraising
-Getting our first big break (i.e. getting our foot in the door)
-Building the perfect board",154133,158410,5/11/18 21:00,"{""2018-05-04 21:00:00"",""2018-05-09 21:00:00"",""2018-05-11 21:00:00"",""2018-05-23 21:00:00"",""2018-05-25 21:00:00""}",6238,2,8,,f
59,33:15.2,00:02.2,completed,We are trying to assess the ease of finding information about donating to our organization and using our donation form. We think it might be a little clunky right now and are hoping that by eliminating some fields (or making them conditional) and making it easier to contact us with questions (perhaps through forms) might make it possible for us to increase donations coming in through our site.,11381,11681,3/23/16 14:00,"{""2016-03-21 16:00:00"",""2016-03-23 14:00:00"",""2016-03-23 15:00:00"",""2016-03-23 16:00:00"",""2016-03-24 14:00:00""}",2454,1,20,,f
411,32:34.3,51:49.8,expired,"The goal for this consultation is direction with objectives, planning and marketing.",,145885,,"{""2018-05-07 17:00:00"",""2018-05-09 17:00:00"",""2018-05-11 17:00:00""}",4405,,10,,f
47,19:30.5,00:02.1,completed,Hillcrest Children and Family Center's challenge is navigation for donor contributions on our web site. We need an easy way for people to contribute. We also want to keep them engaged through our web site and social media. We would like to incorporate elements that make our web site inviting.,11377,11620,3/30/16 18:00,"{""2016-03-28 14:00:00"",""2016-03-28 18:00:00"",""2016-03-30 14:00:00"",""2016-03-30 18:00:00"",""2016-04-01 15:00:00""}",693,1,20,,f
91,26:45.9,00:02.1,expired,"Shepherd's Table is interested in making some necessary updates/upgrades to its website to increase its effectiveness in being user friendly, current, and visually appealing. We currently use a free wordpress site, and have some issues with its capabilities, so we are open to exploring our options to better understand what changes we need to implement to allow our website to function the way we would like. One major issue has to do with formatting of information and organizing text and visuals on the website. Any assistance, tips/tricks, and feedback on our website would be most welcome! Our website is www.shepherdstable.org. Thank you!",,11790,,"{""2016-04-22 14:00:00"",""2016-04-22 16:00:00"",""2016-04-26 16:00:00"",""2016-04-27 15:00:00"",""2016-04-28 15:00:00"",""2016-04-29 15:00:00""}",2458,,20,,f
35,33:33.6,34:38.3,cancelled,"Our communications team did not develop our current website but is responsible for updating and maintaining it. We know we need to update WordPress but are nervous about losing pages of the site, plugins, etc. We are also curious to learn more about what other themes exist in WordPress that might be better suited for our needs, rather than continue using the existing website architecture. We're seeing a consultation with someone who can login and help us navigate potential issues with our website!",,5062,,"{""2015-12-21 14:00:00"",""2015-12-22 17:00:00"",""2015-12-22 18:00:00"",""2015-12-22 19:00:00"",""2015-12-22 20:00:00""}",577,,20,,f
36,32:17.6,35:04.1,cancelled,Our communications team of two people needs help confirming the best way to update our wordpress without running the risk of losing links and other information that was part of an original website design. We'd also like to speak with someone about some suggested changes we'd like to make within the existing wordpress architecture and the best way to do so.,,5062,,"{""2015-12-30 17:00:00"",""2015-12-30 18:00:00"",""2015-12-30 19:00:00"",""2015-12-30 20:00:00""}",577,,20,,f
34,18:42.7,00:01.9,completed,test,6,5118,11/16/15 14:00,"{""2015-11-16 14:00:00"",""2015-11-17 17:00:00"",""2015-11-18 17:00:00"",""2015-11-19 17:00:00""}",239,1,20,,f
500,31:25.1,00:23.1,completed,"We hoping to evolve our brand to a more contemporary style and begin to unite our different non profits under this brand umbrella. We are currently very disjointed so I view this as an evolution at this point to a complete transition in early 2019. Here are our current websites 
www.immaculateheartcommunity.org
www.lacasademaria.org
www.casaesperanzaihm.org
www.corita.org
www.ihmresidence.org",138717,159958,7/3/18 18:00,"{""2018-07-02 20:00:00"",""2018-07-03 18:00:00"",""2018-07-06 17:00:00"",""2018-07-09 18:00:00"",""2018-07-10 19:00:00"",""2018-07-11 20:00:00""}",6434,7,11,,f
461,31:33.1,00:20.1,completed,"The Journey School is ending its debut pilot program at the end of June, and we're brainstorming possible partnerships for 2019. One major idea that came up with partnering with the Boys and Girls Club for a finite time and utilizing their students, but there could be possible conflicts there so I'd like some input!

Learn more about tjsvpa by going to www.tjsvpa.org",155194,157473,6/7/18 17:00,"{""2018-06-05 14:00:00"",""2018-06-05 17:00:00"",""2018-06-05 19:00:00"",""2018-06-06 21:00:00"",""2018-06-07 14:00:00"",""2018-06-07 17:00:00"",""2018-06-07 19:00:00"",""2018-06-08 14:00:00"",""2018-06-08 15:00:00""}",6130,1,5,,f
452,41:41.1,35:48.1,completed,"Together We Bake is a non profit job training program based around a small baking business. Our shop, a wordpress site (www.shop.togetherwebake.org), needs revamping. We would love to embed our shop into our website (www.togetherwebake.org), have a cleaner look, easier check out, ability to offer recurring orders. We need help figuring out if wordpress is the way to go or not.",159128,132121,5/25/18 17:00,"{""2018-05-25 17:00:00"",""2018-05-29 18:00:00"",""2018-05-31 14:00:00"",""2018-06-05 14:00:00"",""2018-06-05 18:00:00""}",4321,1,20,,f
42,13:54.3,35:39.6,cancelled,"Future Foundation is currently in the process of transforming our model and developing a new business plan. We are not quite ready for a rebranding initiative, but would like to examine how we tell the story of our evolution as we anticipate rebranding around a new model and new way to do business. Our CEO’s personal brand can also help support strengthening our brand as we make this transition. We are examining how to align her leadership and business capabilities with promoting the evolution of our story. This has particularly been difficult because we want to inspire the hearts our stakeholders but we also want to communicate the strategic business acumen that has gone into creating a plan of transformation at Future Foundation. How do we inspire the heart while also talking business? We are in the process of identifying relevant websites and materials.",,9994,,"{""2016-02-22 20:00:00"",""2016-02-23 15:00:00"",""2016-02-23 20:00:00"",""2016-02-24 20:00:00"",""2016-02-29 20:00:00""}",2456,,11,,f
106,38:41.1,00:11.1,expired,"Jumpstart is seeking to grow our brand in various markets across the country, and to become a recognized name in the early childhood education (ECE) field. Although Jumpstart is a national organization, the program is delivered at a local level – meaning each ‘site’ is managed by an individual Jumpstart staff (or team of 2) and is committed to serving children in the local community. Jumpstart is struggling with developing a brand that sets us apart from other ECE organizations, and also accurately describes what we do. We believe building a strong brand will play a part in achieving our strategic plan to leverage our staff as thought leaders in the ECE field, grow the number of children we serve, and develop reputable programs to respond to needs in the ECE field.",,140635,,"{""2017-02-28 19:00:00"",""2017-02-28 20:00:00"",""2017-02-28 21:00:00"",""2017-03-01 19:00:00"",""2017-03-01 20:00:00"",""2017-03-01 21:00:00"",""2017-03-02 15:00:00"",""2017-03-02 16:00:00"",""2017-03-02 19:00:00"",""2017-03-02 20:00:00""}",2448,,11,,f
38,43:08.0,00:01.4,completed,"I want to ensure that my website is conveying clear, concise and creative information.  I want to drive traffic to my website and create a Facebook and twitter page.  Most importantly my goal is to increase fundraising.",9321,9497,2/1/16 19:00,"{""2016-02-01 15:00:00"",""2016-02-01 19:00:00"",""2016-02-01 20:00:00"",""2016-02-02 19:00:00"",""2016-02-02 20:00:00""}",2455,1,15,,f
812,48:29.6,53:38.6,pending,Add on button for donation,,169672,,"{""2019-01-16 15:00:00"",""2019-01-21 15:00:00"",""2019-01-24 15:00:00"",""2019-01-29 15:00:00"",""2019-02-01 15:00:00""}",7367,,20,,f
57,52:19.9,00:01.6,expired,"Atlas Corps shares our wireless network with another nonprofit on our floor and boosts the signal with time machines, but we frequently have connectivity issues and especially trouble printing to our wireless printers.  We would really benefit from an assessment of our wireless infrastructure and what are real bandwidth needs are, and some recommendations especially given the planned growth of our team by 25% before the end of the year.",,11676,,"{""2016-03-18 14:00:00"",""2016-03-18 15:00:00"",""2016-03-18 16:00:00"",""2016-03-23 16:00:00"",""2016-03-24 15:00:00"",""2016-03-25 14:00:00"",""2016-03-25 15:00:00"",""2016-03-25 16:00:00""}",2453,,17,,f
89,04:01.4,41:26.8,cancelled,"Translators without Borders is currently developing a new website. We are a virtually based website so our online presence is very important. Before we launch the website in early May, it would be great to get some feedback on how it looks.",11412,4465,4/21/16 14:00,"{""2016-04-20 13:00:00"",""2016-04-20 14:00:00"",""2016-04-20 15:00:00"",""2016-04-21 13:00:00"",""2016-04-21 14:00:00""}",649,1,20,,f
61,21:11.7,09:46.5,cancelled,"Our website (http://www.thenonprofitvillage.org/) no longer meets our needs. Whilst it does provide the basic information, it is not as clear as it should be about what we do and who we help, nor does it include some 'extras' we desire, such as an area where our tenants can post, an online tenancy application form, etc. 
We would like a cleaner interface with more functionality, but one that makes it easy for us as staff to make basic additions and edits to the content.
We are currently undergoing a branding exercise that is helping us articulate our values and hone our positioning, and this will feed into the redesign of our website too.",11412,9375,3/25/16 15:00,"{""2016-03-24 15:00:00"",""2016-03-24 16:00:00"",""2016-03-25 15:00:00""}",1375,1,20,,f
453,26:37.7,23:45.3,expired,We need a pro bono lawyer to help us revise our bylaws in line with Texas state and federal legal standards. We don't actually need a whole hour for this but we may have other legal issues we need to consult on in the future.  We can work around the volunteer's schedule.,,159160,,"{""2018-05-30 16:00:00"",""2018-05-30 17:00:00"",""2018-05-31 16:00:00"",""2018-05-31 17:00:00"",""2018-06-07 16:00:00""}",6324,,7,,f
49,18:29.5,18:29.5,applied,"Description: To determine a low-budget online video platform solution with a learning management solution (LMS) which incorporates elearning for our constituencies.  The challenge we face is limited manpower in providing training to individuals within a timeframe that is conducive for users and content matter experts.  Currently we have one consultant conducting the training.  Many topics/solutions are consistent across the board and can be more effectively delivered in a training system individuals can use at their convenience, freeing the consultant to address specific organizational needs.  By establishing an online video platform, constituents can select training videos which meets their needs at a pace which is convenient for them.  The LMS platform will permit us to monitor constituent's progress and to better customize meeting their needs.  Challenges we face: (1) developing a plan to meet our needs, (2) selecting a solution within our budget and resources, (3) overcoming a learning curve.

In our research, while there are many open source solutions, we are leaning towards using Adobe Captivate as a source for development.",,11624,,"{""2016-03-21 14:00:00"",""2016-03-24 14:00:00"",""2016-03-25 14:00:00""}",1709,,10,,f
